Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
Jim Fire 	Orange	Holy Jim Canyon &amp; Trabuco Creek Road, northeast of Rancho Santa Margarita	NA	2022	3	3/9/22	3/2/22
Alpine Fire 	Sonoma	Near Monte Rio	21	2022	3	3/6/22	3/1/22
Airport Fire	Inyo	Airport Road and East Line Street, east of Bishop 	4136	2022	2	2/26/22	2/16/22
Emerald Fire 	Orange	Hwy 1 and Emerald bay, northwest of Laguna Beach	154	2022	2		2/10/22
Colorado Fire	Monterey	Palo Colorado Canyon, Big Sur, south of Carmel-by-the-sea	687	2022	1		1/21/22
Arlanza Fire	Riverside	Mitchell Ave and Valley Dr. 	24	2021	11	12/2/21	11/21/21
Hollow Fire	San Joaquin	West Corral Hollow Rd and Site 300, 6 miles southwest of Tracy	150	2021	10	10/24/21	10/24/21
Gravel Fire	Modoc	Highway 395 and Goose Lake, 27 Miles north of Alturas	200	2021	10	10/16/21	10/15/21
Estrada Fire	Santa Cruz	Hazel Dell Road and Hidden Canyon.  Northwest of Watsonville	148	2021	10		10/15/21
Canal Fire 	Trinity	Canal View Rd and Paskenta Rd,  northwest of Corning	59	2021	10	10/15/21	10/14/21
View Fire 	Tehama	View Dr and Digger Pine Rd, Southwest of Cottonwood	24	2021	10	10/12/21	10/11/21
Kettle Fire	Kings	Highway 41 between Interstate 5 and Hwy 33, Southwest of Kettleman City. 	447	2021	10	10/12/21	10/11/21
Newell Fire	Napa	Newell Drive and Silver Oak Trail. 	132	2021	10	10/12/21	10/11/21
Alisal Fire	Santa Barbara	Northwest of Refugio Canyon near Hwy 101 along the Gaviota Coast	16970	2021	10	11/20/21	10/11/21
Maxwell Fire	Trinity	Maxwell Creek Rd and Clems Flat, west of Douglas City 	80	2021	10	10/11/21	10/5/21
University Fire	San Bernardino	I-215 and University Pkwy, San Bernardino	71	2021	9	9/23/21	9/22/21
Fremont Fire	Napa, Sonoma	Fremont Drive and Napa Road, Sonoma	116	2021	9	9/23/21	9/22/21
Fawn Fire	Shasta	Fawndale Rd and Radcliff Rd, 5 miles northeast of Shasta Lake	8578	2021	9	10/2/21	9/22/21
Childrens Fire	Madera	Childrens Blvd and Rio Mesa Blvd 	42	2021	9	9/19/21	9/19/21
Emigrant Fire	Los Angeles	North Bound I-5 &amp; Vista Del Lago Rd, Pyramid Lake 	NA	2021	9		9/17/21
Hopkins Fire	Mendocino	Hopkins St and North State St. near Calpella in Mendocino County. 	257	2021	9	9/20/21	9/12/21
Route Fire	Los Angeles	Golden State Hwy and Templin Hwy, north of Templin Hwy 	464	2021	9	9/17/21	9/11/21
KNP Complex	Tulare	Sequoia National Park	NA	2021	9	12/21/21	9/10/21
Windy Fire	Tulare	South of Windy Creek, Red Hill Indian Reservation	NA	2021	9	11/11/21	9/9/21
Caballo Fire	Santa Barbara	Caballo Ln and Avenida Caballo, northeast of Los Olivos 	70	2021	9	9/8/21	9/6/21
Lawrence Fire	Amador	Lawrence Road between Tyler Road and Cedar Creek Road, North of Fiddletown 	46	2021	9	9/7/21	9/5/21
Bridge Fire	Placer	Under the Foresthill bridge in Auburn	411	2021	9	9/14/21	9/5/21
Aruba Fire	San Diego	Southeast of the community of Rainbow	54	2021	9	9/9/21	9/5/21
Lassen Fire	Marin	Mt. Lassen Drive and Idylberry Road near Lucas Valley in Marin County.	44	2021	9		9/1/21
K-Rail	Humboldt	Tish Tang Ridge, southeast of Hoopa	16	2021	8	9/8/21	8/30/21
Railroad Fire	San Bernardino	Cajon Pass near NB I-15 and Baldy Mesa	61	2021	8	9/2/21	8/29/21
Knob Fire	Humboldt	Friday Spur Rd &amp; China Creek, south of Willow Creek	2421	2021	8	9/13/21	8/29/21
Roadside Fire	San Bernardino	Cajon Pass near Keenbrook Road and Cajon Blvd.	50	2021	8	9/2/21	8/28/21
Chaparral Fire	Riverside, San Diego	Cleveland Forest Road and Tenaja Road southwest of Murrieta in San Diego County.	1427	2021	8	9/1/21	8/28/21
Washington Fire	Tuolumne	Golf Links Road and Highway 108, West of Sonora	100	2021	8	9/1/21	8/26/21
Mule Fire	Shasta	Placer Rd &amp; Muletown Rd, southwest of Redding	10	2021	8	8/25/21	8/25/21
Airola Fire	Calaveras	Parrotts Ferry Rd and Airola Rd, west of Columbia	639	2021	8	9/4/21	8/25/21
South Fire	San Bernardino	North of Glen Helen, east of Sierra Ave. and Lytle Creek Rd. west of the 15 Fwy.	680	2021	8	9/2/21	8/25/21
Westward Fire	Riverside	South San Gorgonio Ave and 4th street, Banning	160	2021	8	8/28/21	8/25/21
Bennett Fire	Nevada	East Bennett Rd and Lava Rock Ave, Grass Valley	59	2021	8		8/25/21
Rock Fire	Riverside	Gulley View Rd and Rock Canyon Rd, Anza	295	2021	8	8/27/21	8/24/21
Cache Fire	Lake	Dam Rd and Wilkinson Ave, Clearlake	83	2021	8	8/23/21	8/18/21
McCash Fire	Siskiyou	Ten Bear Mtn McCash Creek	94962	2021	8	11/2/21	8/18/21
French Fire	Kern	Sawmill Rd and NF-25S02, 5 west of Lake Isabella	NA	2021	8	10/20/21	8/18/21
Walkers Fire	Tulare	North of Alpine Creek, northeast of Springville	8777	2021	8	9/17/21	8/16/21
Bell Fire	Mendocino	Bell Springs Road and Foster Creek Road, east of Leggett	50	2021	8	8/19/21	8/14/21
Caldor Fire	El Dorado, Alpine, Amador	East of Omo Ranch, South of the community of Grizzly Flats	221835	2021	8	10/21/21	8/14/21
Middle Fire	Sonoma	Middle Two Rock Road and Succetti Road, west of Petaluma in Sonoma County.	22	2021	8		8/13/21
Coyote Fire	Lake	State Highway 29 and Spruce Grove Road, Hidden Valley Lake in Lake County	127	2021	8	8/15/21	8/13/21
Glen Fire	Yuba	Willow Glen Rd and Meadow Ln , northwest of Dobbins	184	2021	8	8/21/21	8/11/21
Nelson Fire	Shasta	Nelson Creek Rd and Summit Lake Rd	20	2021	8	8/13/21	8/7/21
Hambone Fire	Siskiyou	Lave Spur and Hambone Island	55	2021	8		8/6/21
House Fire	Shasta	Highway 299 and Tollhouse Road, West of Redding	60	2021	8	8/10/21	8/4/21
River Fire	Nevada, Placer	Milk Ranch Road and Bear River Campground Road, north of Applegate	2619	2021	8	8/13/21	8/4/21
Antonio Fire	Los Angeles	Glendora Ridge Rd and Sunset Peak, west of Mt. Baldy	50	2021	8	8/16/21	8/3/21
Antelope Fire	Siskiyou	Antelope Creek and Forest Road 41N28, south of Tennant	145632	2021	8	10/15/21	8/1/21
Hiding Fire	Shasta	Dale Ln and Panther Rd, south of Cloverdale	50	2021	8	8/1/21	8/1/21
Hungry Fire	Los Angeles	Quail Canyon Road and Goldhill Road, South of Frazer Park in Los Angeles County.	340	2021	7	8/1/21	7/31/21
Tobin Fire	San Luis Obispo	Highway 46 East and Union Road, East of Paso Robles in San Luis Obispo County.	75	2021	7		7/31/21
McFarland Fire	Shasta, Trinity, Tehama	McFarland Ridge and Baker Flat, west of Platina	122653	2021	7	9/16/21	7/30/21
Robie Fire	Calaveras	Milton Road and Main Street, South of Valley Springs in Calaveras County.	153	2021	7	8/1/21	7/30/21
Monument Fire	Trinity	Del Loma, CA near Monument Peak	223124	2021	7	10/26/21	7/30/21
River Complex	Siskiyou, Trinity	Scott Salmon Ranger District, west of Callahan	199359	2021	7	10/26/21	7/30/21
Evans Fire	Plumas	Evans Peak and Cooks Creek, northeast of Greenville in Plumas County.	85	2021	7	8/8/21	7/29/21
Pinnacles Fire	Monterey	Hwy 146 Pinnacles West , East of Soledad	171	2021	7	7/31/21	7/28/21
Park Fire	Tulare	Balch Park Rd and Bear Creek Dr, northeast of Springville	100	2021	7	7/31/21	7/26/21
Mountain Fire	Trinity	Island Mountain Rd x Raff Creek Rd, southeast of Alderpoint	25	2021	7		7/23/21
Quail Fire	Riverside	Gilman Springs Rd and Eden Hot Springs Rd, East of Moreno Valley	50	2021	7		7/20/21
Peak Fire	Kern	Walker Basin Road and Piute Mountain Road, South of Lake Isabella	2098	2021	7	8/13/21	7/20/21
Frenchtown Fire	Yuba	Frenchtown Dobbins Road and Seward Lane, west of Dobbins in Yuba County.	45	2021	7	7/22/21	7/20/21
Chicken Fire	Lassen	Juniper Tree Road and Juniper Ridge Road, East of Termo	55	2021	7	7/22/21	7/18/21
Fork Fire	Tehama	Lowery Rd and South Fork Dr	43	2021	7	7/20/21	7/17/21
Border 13 Fire	San Diego	188 and Tecate Mission Rd, Potrero Canyon	30	2021	7		7/15/21
Cannon Fire	Tehama	Vestal Road and Pope Drive, west of Red Bluff	43	2021	7	7/16/21	7/14/21
Dolicini Fire	Marin	Point Reyes-Petaluma Rd and Nicasio Valley Rd, northeast of Nicasio Reservoir	35	2021	7	7/15/21	7/14/21
Dixie Fire	Butte, Plumas, Shasta, Lassen, Tehama	Above the Cresta Dam, Feather River Canyon	963309	2021	7	10/25/21	7/13/21
Dexter Fire	Mono	Wickie Up Rd and Pilot Springs Rd, northeast of Mammoth Lakes	2965	2021	7	7/30/21	7/12/21
Diablo Fire	Contra Costa	Vasco Road and Camino Diablo, south of Byron in Contra Costa County.	128	2021	7	7/11/21	7/11/21
