Name	County	Location	AcresBurned	Year	Month	Extinguished	Started
Soda Fire	Kern, San Luis Obispo	Soda Lake Road and Pipeline Road, San Luis Obispo	419	2024	12		12/21/24
Soto Fire	Riverside	Soto Street and Sedona Drive, Jurupa Valley	25	2024	12	12/18/24	12/17/24
Addie Fire	Kern	Near Highway 33 	30	2024	12	12/15/24	12/14/24
Rogers Fire 	San Bernardino	Roy Rogers Road, Oro Grande	10	2024	12		12/10/24
Franklin Fire	Los Angeles	Malibu Canyon Road, Malibu Creek State Park	4037	2024	12	12/18/24	12/9/24
7.0 Earthquake	Alameda, Humboldt	Alameda &amp; Humboldt County	NA	2024	12	12/5/24	12/5/24
Derrick Fire	Fresno	I-5 and South Derrick Avenue, Cantua Creek	74	2024	12		12/2/24
Canyon Crest Fire	Riverside, San Bernardino	North of Highway 60, near Canyon Crest Drive in Riverside County	254	2024	11		11/28/24
Border 77 Fire	San Diego	Otay Mountain Truck Trail and Kuebler Ranch Roach, Otay	98	2024	11	11/24/24	11/23/24
Canal Fire	Madera	Road 400 near Road 33, Madera	34	2024	11		11/22/24
Duck Fire	San Joaquin	2700 Blk North Waverly Road, Farmington	73	2024	11		11/21/24
Michigan Fire	Amador	Hwy 104 west of Michigan Bar Rd, Northwest of Ione	24	2024	11		11/21/24
Broadway Fire	Monterey	Broadway St. and San Antonio Dr., King City	57	2024	11	11/23/24	11/21/24
Brauns Fire	Calaveras	Highway 12 and Briski Rd San Andreas	50	2024	11		11/20/24
Millar Fire	San Diego	Campo Rd &amp; Millar Ranch Rd, Spring Valley	11	2024	11		11/20/24
Hidden Valley Fire	Riverside	Unknown / TBD	46	2024	11		11/20/24
Sandy Fire	Monterey	Big Sandy Road and Indian Valley Road, northeast of Valleton	23	2024	11	11/18/24	11/17/24
Kamm Fire	Fresno	West Kamm Avenue and Interstate 5, northwest of Three Rocks	10	2024	11	11/16/24	11/16/24
John Fire	Merced	Near Interstate 5, John Erreca Rest Stop	13	2024	11	11/15/24	11/14/24
Eternal Fire	Lassen	Near Eternal Springs Way &amp; Standish Pit Rd, Standish	20	2024	11		11/13/24
Bull Fire	Kings	West of 25th Avenue and Parejo Hill, Avenal	11	2024	11		11/12/24
Waucoba Fire	Inyo	Badger Flat, west of Waucoba Mountain	8	2024	11	11/12/24	11/11/24
Garden Fire	San Diego	East of Gird Road &amp; Pala Mesa Drive, Fallbrook	48	2024	11		11/8/24
Resort 2 Fire	San Diego	Highway 79, nothwest of Warner Springs Resort	25	2024	11		11/8/24
Frenchman Fire	Los Angeles	West of Frenchman's Flat Day Use Area, South of Pyramid Dam	94	2024	11	11/10/24	11/7/24
Santa Lucia Fire	Santa Barbara	Santa Lucia Canyon Road, Vandenberg SFB	125	2024	11	11/12/24	11/7/24
Mountain Fire	Ventura	Balcom Canyon Road and Bradley Road, Somis	19904	2024	11		11/6/24
Broad Fire	Los Angeles	Southwest of South Malibu Canyon Road &amp; Pacific Coast Highway, Malibu	50	2024	11		11/6/24
Valley Fire	Shasta	Near Lassen Avenue and Monte Vista Road, West of Anderson	11	2024	11	11/8/24	11/6/24
Lemon Fire	Tulare	Avenue 334 and Road 248, Lemon Cove	40	2024	11		11/6/24
Lake Fire	Trinity	200 block of Lower West Side Road, Mad River	44	2024	11	11/11/24	11/5/24
Wolf Fire	Riverside	Old Idyllwild Road	25	2024	11	11/8/24	11/4/24
Gaylord Fire	Tehama	Gaylord Avenue and Hoag Road	47	2024	11	11/3/24	11/3/24
Montezuma Fire	San Diego	Montezuma Road, East of Fairmount Avenue, San Diego	37	2024	10	11/3/24	10/31/24
Quarry Fire	San Diego	SR-54 &amp; SR-125, East of Spring Valley	10	2024	10	10/31/24	10/31/24
Horseshoe Fire	Inyo	Horseshoe Meadows Road, near Lone Pine	4537	2024	10		10/30/24
Hog Fire	Tehama	Hogsback Road East of Tuscan Springs Road	40	2024	10		10/30/24
Campbell Fire	Tulare	35000 block of Yokohl Valley Drive, Northwest of Springville	524	2024	10	10/30/24	10/28/24
Lost Fire	Fresno	East of Sutter Avenue and Highway 33, Coalinga	15	2024	10		10/26/24
Alray Fire	San Bernardino	Forest Route 3N21, Phelan	16	2024	10	10/27/24	10/26/24
Coalinga Fire	Fresno	Unknown / TBD	5	2024	10		10/24/24
Golden Fire	Riverside	44000 block Highway 79, Aguanga	40	2024	10		10/24/24
Riverview Fire	Santa Barbara	W Highway 246 and  Riverview Drive 	64	2024	10		10/24/24
Iowa Fire	Yuba	Iowa City Road and Oak Creek Road 	38	2024	10		10/21/24
Lost Fire	Fresno	HWY 33/ Lost Hills Road	13	2024	10		10/19/24
Gilardi Fire	San Luis Obispo	3200 Block of Gilardi Road, San Luis Obispo 	50	2024	10		10/19/24
162 Fire	Glenn	Country Road Z at the cross of Highway 62, East of Butte	60	2024	10	10/19/24	10/19/24
Dove Fire	Kern	Dove Spronga Canyon Road, Kelso Valley	1000	2024	10		10/19/24
Pedley Fire	Riverside	Pedley Road and Ben Nevis Boulevard, Jurupa Valley	15	2024	10		10/19/24
Hay Fire	Solano	Hay Road and Burke Lane, Dixon	869	2024	10	10/22/24	10/18/24
Keller Fire	Alameda	End of Sanford Street in the area of Maynard, Oakland	15	2024	10	10/20/24	10/18/24
Mission Fire	Riverside	Mission Boulevard and Crestmore Road, Jurupa Valley	17	2024	10	10/19/24	10/18/24
Snake Fire	San Luis Obispo	Unknown / TBD	8	2024	10	10/17/24	10/17/24
Maria Fire	San Luis Obispo	Highway 101 and Santa Maria River, Nipomo	80	2024	10	10/17/24	10/17/24
Canyon Fire	San Luis Obispo	Hay Canyon Road and San Juan Creek Road	16	2024	10		10/15/24
Marvin Fire	Riverside	Pulsar View Road and Mt Rudolf Road  	12	2024	10		10/13/24
Jack Fire	Riverside	Jack Rabbit Trail and Highway 60, Beaumont	260	2024	10	10/15/24	10/13/24
Miles Fire	Riverside	12400 block of Beardsley Rd. in Alberhill	23	2024	10		10/11/24
Bahrman Fire	Riverside	Unknown / TBD	110	2024	10	10/10/24	10/9/24
Shoe Fire	Shasta	Fenders Ferry Road near Madrone Campground, Southwest of Big Bend	5124	2024	10	11/9/24	10/9/24
Cemetery Fire	Modoc	100 block County Road 89, Adin	56	2024	10		10/8/24
Piney Fire 	Monterey	Hastings Reservation Road and Martin Road, Jamesburg	225	2024	10		10/8/24
Posta 3 Fire	San Diego	Old Highway 80 and La Posta Road, Campo	413	2024	10	10/8/24	10/7/24
Tuledad Fire	Lassen	Marr Road and Tuledad Road, northeast of Susanville	420	2024	10	10/8/24	10/6/24
Hambone Fire	Siskiyou	Forest Road 24 and Forest Road 40N57 in the Pondosa and Hambone area	15	2024	10		10/6/24
Verjeles Fire	Yuba	Los Verjeles Road and Loma Rica Road	12	2024	10	10/7/24	10/6/24
Wood Fire	Humboldt	Wood Ranch Road and Redwood Drive, southwest of Phillipsville	26	2024	10	10/9/24	10/6/24
Dutch Fire	Nevada	Lowell Hill Road and Dutch Flat Forebay Dam, east of Grass Valley	28	2024	10		10/5/24
Glenhaven Fire	Lake	Hillcrest Drive and Henderson Drive, Glenhaven	417	2024	10	10/9/24	10/4/24
Ruby Fire	Kern	Ruby Ave and Amber Street, north of Rosamond	50	2024	10	10/5/24	10/4/24
Central 2 Fire	Fresno	North Avenue and Del Rey Avenue 	15	2024	10	10/4/24	10/4/24
Wolf Fire	Fresno	E North Avenue &amp; S De Wolf Avenue, Sanger	22	2024	10	10/5/24	10/4/24
Felicia Fire	Ventura	Piru Canyon Road and Berma Road, Lake Piru	367	2024	10		10/3/24
Ranch Fire	Kings	Highway 41 and York, Reef City	10	2024	10		10/3/24
Two Mile Fire	Colusa	Lurline Ave. and Two Mile Road, Colusa County	10	2024	10	10/4/24	10/3/24
Lago Fire	Los Angeles	Ridge Route Road and Lake Hughes Road, Castaic	25	2024	10	10/6/24	10/2/24
Peak Fire	Tuolumne	Forest Route 4N12 and Herring Creek, Pinecrest 	316	2024	10		10/2/24
Bear Fire	Humboldt	Northeast of Dinsmore	23	2024	10	10/9/24	10/2/24
Soda Fire	San Luis Obispo	Soda Lake Rd south of Hwy 58, California Valley	633	2024	9		9/30/24
Tiger Fire	Amador	Tiger Creek Road, near Pioneer	4	2024	9		9/30/24
Ridge Fire	Santa Barbara	Northeast of Cuarta Road, Hollister Ranch	17	2024	9		9/29/24
Cindy Fire 	Los Angeles	14 Freeway and East Barrel Springs Rd, Palmdale	13	2024	9	9/29/24	9/28/24
Meiss Fire	Sacramento	14000 block Meiss Rd, S/W of Rancho Murieta	42	2024	9	9/29/24	9/27/24
Pinnacles Fire	San Benito	Airline Highway 25 and Pinnacles Highway 146	17	2024	9	9/28/24	9/27/24
86 Fire	Riverside	Highway 86 Expressway / Avenue 70, Thermal 	38	2024	9	9/29/24	9/27/24
Chase Fire 	Kern	East of Comanche Dr &amp; Breckenridge Rd, Edison	35	2024	9	9/28/24	9/27/24
Plymire Fire	Tehama	Plymire Road at the cross of Mendenhall, Red Bluff	14	2024	9	9/26/24	9/26/24
Antonio Fire	Sonoma	San Antonio Road, Petaluma	11	2024	9	9/24/24	9/23/24
Phelps Fire	Fresno	Phelps Ave and West Gale Ave	35	2024	9	9/20/24	9/19/24
Executive Fire	Tehama	Henleyville Rd and Executive Dr in the community of Henleyville	58	2024	9		9/17/24
Rosa Fire	Santa Barbara	Santa Rosa Road, Lompoc	20	2024	9	9/16/24	9/16/24
Cougar Fire	Sonoma	Lakeville Highway, south of Cougar Mountain Road, Sears Point	53	2024	9	9/16/24	9/15/24
Ripple Fire	Fresno	Sand Creek Road and Ripple Lane	15	2024	9	9/15/24	9/15/24
Bell Fire	El Dorado	East of Highway 49, north of the Amador/El Dorado County line in El Dorado County	12	2024	9		9/14/24
Quincy Fire	Butte	Forbestown Road and Little Oaks Road, Robinson Mill	85	2024	9		9/12/24
Willow Fire	Contra Costa	Willow Pass Road and Avila Road, North of Concord	62	2024	9	9/11/24	9/11/24
Joshua Fire	Los Angeles	Mount Emma Road / East of 47th Street, Palmdale	30	2024	9		9/11/24
Alpaugh Fire	Tulare	Avenue 50 and Road 22, Southwest of Alpaugh	18	2024	9		9/11/24
Apollo Fire	Los Angeles	29th Street West and West Aquaduct Road, Fairmont	800	2024	9	9/10/24	9/10/24
Coyote Fire	Riverside	33800 Block of Washington Street, North of Desert Palms	20	2024	9		9/10/24
Kelso Fire	Alameda	Kelso Road and Bruns Road, south of Byron	22	2024	9		9/10/24
Crozier Fire	El Dorado	Northwest of Slate Mountain	1960	2024	9		9/9/24
Wicklow Fire	Amador	11900 Block of California Highway 88, Martell	63	2024	9	9/11/24	9/9/24
Airport Fire	Orange, Riverside	Trabuco Canyon and Rose Canyon, Trabuco Canyon	23526	2024	9	10/5/24	9/9/24
Sunset Fire	Riverside	Sunset Avenue &amp; W Westward Avenue, Banning	54	2024	9		9/9/24
Train Fire	Kern	Bealville Road, Bealville  	48	2024	9	9/10/24	9/9/24
Boyles Fire	Lake	Dam Road, Clearlake	81	2024	9	9/11/24	9/8/24
Bridge Fire	Los Angeles, San Bernardino	Camp Bonita Road, East of Camp Williams	56030	2024	9		9/8/24
Rice 2 Fire	San Diego	Rice Canyon Road and California State Route 76	20	2024	9		9/8/24
Church 2 Fire	San Diego	Church Road and Golden Acorn Way, Campo	40	2024	9		9/7/24
Roblar Fire 	San Diego	Case Springs Road, Camp Pendleton 	1000	2024	9	9/11/24	9/7/24
Mill Creek 4 Fire	Humboldt	Mill Creek, north of Hoopa	25	2024	9	9/12/24	9/7/24
Cotton Fire	Fresno	Unknown / TBD	314	2024	9		9/7/24
Pine Fire	Mendocino	South of Gibson Road near Pine Lake Basin, North of Redwood Valley	18	2024	9	9/10/24	9/6/24
Cove Fire	Riverside	Southeast of Highway 243 &amp; Mellor Ranch Road, Northwest of Idyllwild	15	2024	9		9/6/24
Canary Fire	San Diego	1 Mile Southeast of Case Springs, Camp Pendleton	25	2024	9	2/25/24	9/6/24
Line Fire	San Bernardino	Baseline Street and Alpine Street, North of City of Highland 	43978	2024	9		9/5/24
Midway Rd Fire	Merced	Hwy 152 and Midway Road, Los Banos	10	2024	9		9/5/24
Dorado Fire	Fresno	24700 block of West Jayne Avenue, Coalinga	502	2024	9		9/5/24
Chapman Fire	Riverside	44800 block Chapman Road, Anza	18	2024	9		9/4/24
Post Fire	Riverside	20800 block of  Gardenias Street, Goodhope (unincorporated Perris)	264	2024	9	9/5/24	9/4/24
Hawk Fire	San Luis Obispo	Unknown / TBD	14	2024	9		9/3/24
Boone Fire	Fresno	Highway 198 and Boone Lane, Coalinga	17000	2024	9		9/3/24
Backus Fire	Kern	5300 Block of Backus Road, Southwest of Mojave	41	2024	9	9/3/24	9/3/24
Bear Fire	Sierra	Off Bear Valley Road, South of Loyalton	3323	2024	9	9/19/24	9/2/24
Centerville Fire	Butte	Centerville Rd North of Honey Run Rd, West of Paradise	59	2024	9		9/2/24
Gabriel Fire	Los Angeles	Near Santa Fe Dam Nature Center, Irwindale	40	2024	9		9/2/24
Hwy 152 E/ Rd 13 Fire	Madera	Unknown / TBD	40	2024	9		9/2/24
Robert Fire	Solano	Highway 12 and Red Top Road	48	2024	9	9/4/24	9/1/24
Record Fire	Riverside	Soboba Road, San Jacinto	517	2024	9	9/5/24	9/1/24
Argyle Fire	Monterey	Argyle Rd, near the community of Jolon	91	2024	9		9/1/24
High Fire	Tehama	Near High Flat Road and Lowrey Road, South of Lowrey in Tehama county 	45	2024	8	9/4/24	8/31/24
Minton Fire	Riverside	Near Minton Road and Juniper Flats Road in Riverside County	22	2024	8	9/2/24	8/31/24
Bichota Fire	Los Angeles	San Gabriel Canyon Road near Bichota Canyon Trail in Los Angeles county	3	2024	8	8/31/24	8/31/24
Union Fire	San Luis Obispo	Highway 46/Union Road, Paso Robles	11	2024	8	8/31/24	8/31/24
Armstrong Fire	Contra Costa	Armstrong Road &amp; Falcon Way, Byron	20	2024	8		8/31/24
Way Fire	Kern	Sierra Way - NE of Rocky Point	88	2024	8	8/29/24	8/29/24
Two Fire	Sonoma	Bodega Avenue and Raven Road, west of Petaluma	33	2024	8	8/30/24	8/29/24
Vasco Fire	Alameda	Vasco Rd at the Alameda on the Contra Costa County Line	16	2024	8	9/1/24	8/29/24
Keys Fire	San Diego	Northeast of Old Lilac Road &amp; Keys Creek Road, Valley Center	18	2024	8	8/30/24	8/28/24
Gulch Fire	Sonoma	Stage Gulch Rd near Lakeville Hwy, Lakeville	19	2024	8	8/30/24	8/28/24
Silver Fire	Calaveras	Silver Mountain Road and Riverview Drive, Rail Road Flat, CA	12	2024	8	8/30/24	8/28/24
Pioneer Fire	San Bernardino	11100 Block of Pioneer Road, Apple Valley	22	2024	8	8/28/24	8/27/24
Weller Fire	Kern	Granite Rd North of Round Mtn Rd, North of Bakersfield	78	2024	8		8/27/24
Johnson Fire	San Bernardino	Johnson Road &amp; Snow Line Road, Phelan	15	2024	8	8/30/24	8/27/24
Florin Fire	Sacramento	Excelsior Road &amp; Florin Road, Sacramento	42	2024	8		8/26/24
Excelsior Fire	Sacramento	Excelsior Road, Sacramento	38	2024	8	8/26/24	8/26/24
Tenaja Fire	Riverside	Tenaja Truck Trail	130	2024	8		8/25/24
Solar Fire	Merced	McCabe Road and Whitworth Road 	22	2024	8	8/25/24	8/25/24
Park Fire 	Riverside	Park Ave &amp; Menlo Ave, Hemet	16	2024	8		8/25/24
Benito Fire	Fresno	West Panoche Road near Mendota 	17	2024	8	8/24/24	8/24/24
Summit Fire 	San Bernardino	North Highway 173, South of Hesperia	76	2024	8	8/25/24	8/24/24
Wild Wash Fire	San Bernardino	Wild Wash Road, Sorrel Trail 	23	2024	8	8/25/24	8/24/24
Far Fire	Placer	Camp Far West Road &amp; McCourtney Road, Wheatland	12	2024	8		8/23/24
Chevelle Fire	Tulare	1330 Highway 65 and 23200 Avenue, near Richgrove	27	2024	8		8/23/24
Refugio Fire	Santa Barbara	1400 Block of Refugio Road, Northwest of Goleta	86	2024	8	8/26/24	8/23/24
Motor Fire	Los Angeles	Interstate 5 near Vista Del Lago Road, Los Angeles County	11	2024	8	8/23/24	8/23/24
Banning Fire	Riverside	East of Banning	86	2024	8		8/23/24
Proctor 8 Fire	San Diego	Proctor Valley Road in the community of Jamul	27	2024	8	8/26/24	8/23/24
Beach Fire	Riverside	Southwest of Limonite Ave &amp; Beach St, Southwest of Jurupa Valley	34	2024	8		8/22/24
Edna Fire	Riverside	Highway 243 and Mount Edna Road, Banning 	33	2024	8		8/22/24
Walmort Fire	Sacramento	Northeast of Walmort road and Meuret road, Wilton	45	2024	8		8/22/24
Amaral Fire	Solano	1600 block of Amaral Ct, Fairfield	11	2024	8		8/21/24
Turner Fire	Merced	Turner Ave and Central Avenue, Hilmar	15	2024	8		8/21/24
Canyon Fire	Los Angeles	Big Tujunga Canyon Road, Tujunga	25	2024	8	8/23/24	8/21/24
Ace Fire	Calaveras	Near 72 Hwy 26 Valley Springs 	16	2024	8		8/21/24
Bishop Fire	San Luis Obispo	1700 Block of Bishop Street, San Luis Obispo	15	2024	8	8/20/24	8/20/24
Rancho Fire	San Luis Obispo	1860 block of Rancho Lomas Way, Southeast of San Miguel	9	2024	8		8/20/24
Grade Fire	Santa Barbara	Highway 101 and Old Coast Highway, Las Cruces	25	2024	8	8/22/24	8/20/24
Winchester Fire	Riverside	28200 Block Unincorporated Winchester	10	2024	8		8/20/24
Grant Fire	Alameda, San Joaquin	Westbound I-205 at the I-580 and I-205 interchange, west of Tracy	16	2024	8		8/19/24
Interlake Fire	Monterey	Bryson Hesperia Road near Interlake Road, South of Lockwood	22	2024	8		8/19/24
Livermore Fire	Alameda	South Livermore Ave &amp; Tesla Road, Livermore	16	2024	8	8/19/24	8/19/24
Green Fire	Alameda	National Dr &amp; Greenville Rd, Livermore 	6	2024	8		8/19/24
Railroad Fire	Solano	Highway 12 and Mauds Lane, southeast of Fairfield	60	2024	8		8/19/24
Quimby Fire	Santa Clara	4700 block of Quimby Road, East San Jose	33	2024	8		8/19/24
Hills Fire	Madera	Highway 41 and Avenue 11	172	2024	8		8/18/24
Cypress Fire	San Luis Obispo	Santa Rosa Creek Road and Cypress Mountain Road, West of Templeton	88	2024	8		8/17/24
Marysville Fire	Butte	Baggett-Marysville Road, south Oroville	23	2024	8		8/17/24
Marco Fire	San Bernardino	Luna Road and White Road, near Baldy Mesa	65	2024	8	8/18/24	8/16/24
Pendulum Fire	Kern	Pendulum Drive, Bakersfield	269	2024	8		8/16/24
Zarzo Fire	Mariposa	Zarzo Way and Lazo Way	103	2024	8		8/15/24
Waltz Fire	Merced	Bear Creek and Bonner Road.	85	2024	8		8/15/24
Bruns Fire	Contra Costa	Bruns Road, South of Byron	25	2024	8	8/14/24	8/14/24
White Fire	Riverside	West bound Interstate 10  west of Whitewater	13	2024	8	8/18/24	8/14/24
Queenstone Fire	Marin	Queenstone Fire Rd &amp; Chicken Shack Fire Rd, west of Marinwood	18	2024	8	8/15/24	8/13/24
Papa Fire	San Diego	Papa 3 Training Area, Camp Pendleton	60	2024	8	8/18/24	8/13/24
Moon Fire	Los Angeles	Unknown / TBD	15	2024	8	8/14/24	8/13/24
Kahlon Fire	Merced	Near Highway 99, South of Merced	17	2024	8	8/13/24	8/13/24
Turbine Fire	Kern	Tehachapi Willow Springs Road, Mojave	329	2024	8		8/12/24
Oso Fire	Stanislaus	Mt Oso Rd North of Del Puerto Canyon Road, West of Patterson	11	2024	8		8/12/24
Reservoir Fire	Lake	Indian Valley Reservoir Road and Walker Ridge Road, southeast of Indian Valley Reservoir	68	2024	8	8/14/24	8/12/24
Anita Fire	San Diego	Millar Ranch Road, North of Millar Anita Lane, Spring Valley	20	2024	8	8/15/24	8/12/24
Meiss Fire	Sacramento	Near Ione Road and Meiss Road 	108	2024	8		8/11/24
Mack Fire	Riverside	Mack St. and Old Elsinore Rd, Mead Valley	63	2024	8		8/10/24
Summit Fire	Calaveras	Summit Level Road, Rail Road Flats	21	2024	8		8/10/24
Lower Fire	Shasta	Lower Springs road and Eureka Way, Shasta	110	2024	8	8/14/24	8/10/24
Blue Fire	Kern	Sand Canyon Road, Caliente	427	2024	8	8/14/24	8/10/24
Mission Fire	Riverside	Mission Trail Road and Vine Street	11	2024	8		8/10/24
Boise Fire	Humboldt	South of Orleans	12967	2024	8		8/9/24
Blue Fire	Solano	Blue Mountain Drive intersection at I-80, southwest of Vacaville	60	2024	8		8/9/24
Cal Fire	Kern	14600 Block of Tehachapi-Willow Springs Rd, Mojave	60	2024	8		8/9/24
Valley Fire	Madera	Road 14, Madera	55	2024	8		8/8/24
Canyon Fire	Tuolumne	Buchanan Rd and Canyon Dr, Tuolumne City	80	2024	8	8/23/24	8/8/24
Town Fire	Calaveras	Watertown Road, Valley Springs	10	2024	8		8/7/24
Silver Fire	El Dorado	2300 Block of Green Valley Road, Green Springs Ranch	41	2024	8		8/7/24
Purple Fire	Butte	Dickerson Lane and Purple Rocks Lane, Robinson Mill	10	2024	8		8/7/24
Gover Fire	Shasta	3000 Block of Gover Road, Andersen	12	2024	8		8/5/24
Kimtu Fire	Humboldt	Kimtu Road, Garberville	14	2024	8		8/5/24
Edgehill Fire	San Bernardino	Beverly Drive &amp; W Edgehill Rd, San Bernardino	54	2024	8		8/5/24
Franklin Fire	Riverside	South of I-5, South of N Main Street, Lake Elsinore	12	2024	8		8/4/24
Bella Fire	Kern	Highway 17, west of Highway 14, Inyokern	500	2024	8		8/4/24
Middle Fire	Tuolumne	S of Middle Tuolumne River &amp; N of Tioga Rd, Yosemite National Park	310	2024	8		8/4/24
Morrison Fire	Tuolumne	Near Morrison Creek, Yosemite National Park	30	2024	8	9/20/24	8/4/24
Coffee Pot Fire	Tulare	West of Homers Nose Grove, Sequoia National Park	14104	2024	8		8/3/24
Tahoe Fire	Merced	Tahoe street and Highway 59 North 	22	2024	8		8/3/24
Burbank Fire 	Los Angeles	Burbank Boulevard and Woodley Avenue, Encino	75	2024	8	8/4/24	8/3/24
Echo Fire	Mariposa	North of Little Yosemite Valley above Echo Valley	12	2024	8		8/3/24
Alamos Fire	Riverside	Los Alamos Road and Ruth Ellen Way, Murrieta	72	2024	8		8/2/24
Dino Fire	Merced	Pacheco Pass Highway, Hollister	15	2024	7		7/31/24
Border 66 Fire	San Diego	West of Highway 188, Tecate	300	2024	7		7/30/24
Pedro Fire	Mariposa, Tuolumne	Arbolada Drive, Lake Don Pedro	3815	2024	7		7/30/24
Eagle Fire	San Luis Obispo	2500 block of Bald Eagle, San Miguel	11	2024	7	7/31/24	7/30/24
Pole Fire	San Bernardino	Roundup Way at Central Road, Apple Valley	300	2024	7	8/22/24	7/30/24
Nixon Fire	Riverside	Tule Valley Road and Richard Nixon Boulevard, Aguanga	5222	2024	7		7/29/24
Cougar Fire	Tehama	Cougar Drive near Hillcrest Drive, Corning 	9	2024	7	7/31/24	7/29/24
Carmen Fire	Riverside	Broadway and Carmen’s Av, in Cabazon	11	2024	7		7/29/24
Italian Fire	Fresno	Italian Bar Road and Jose Basin Road, Shaver Lake	46	2024	7	11/3/24	7/29/24
Walker Fire	Riverside	Walker Canyon Road and Lake Street, Lake Elsinore	65	2024	7		7/28/24
Border 65 Fire	San Diego	Tecate Peak, Marron Valley	61	2024	7		7/28/24
Sunset Fire	Humboldt	Near Mattole Road, North of Petrolia	13	2024	7		7/28/24
Cosgrove Fire	Calaveras	Cosgrove Creek Road and Paloma Road, Valley Springs 	12	2024	7	7/28/24	7/27/24
Riley Fire	Mendocino	Riley Road near Campo Noyo	12	2024	7	7/31/24	7/27/24
Museum Fire	Riverside	17000 Block Lake Perris Drive	21	2024	7		7/27/24
Walnut Fire	Riverside	Near Walnut Street and Sunny Canyon Street in Riverside County	68	2024	7		7/27/24
Victoria Fire	Los Angeles	North of Highway 14, Acton	10	2024	7		7/26/24
Lammers Fire	San Joaquin	South Lammers Road and Western Pacific Highway, Tracy	20	2024	7		7/26/24
Creek Fire	Alameda	Welch Creek Rd and Calaveras Rd in Sunol	744	2024	7		7/26/24
Dockery Fire	Fresno	Unknown / TBD	20	2024	7		7/26/24
Hatchett Fire	Tulare	Unknown / TBD	19	2024	7		7/25/24
Acorn Fire	Lake	1000 block of Manzanita Circle, Upper Lake	151	2024	7	7/28/24	7/25/24
Lawton Fire	San Bernardino	South of Sage Drive &amp; Sierra Vista Drive, Loma Linda	17	2024	7	7/25/24	7/25/24
Macy Fire	Riverside	Macy Street and Orange Street, Lake Elsinore	145	2024	7	7/28/24	7/25/24
Flynn Fire	Alameda	I 580 E and N Flynn Rd in the Altamont	389	2024	7	7/28/24	7/25/24
Simpson Fire	Fresno	Sequoia and Kings Canyon National Park	47	2024	7	9/2/24	7/25/24
Grove 2 Fire	San Diego	Northeast of Sunshine Summit, CA	863	2024	7	7/28/24	7/24/24
Bullion Fire	Mariposa	6000 block of Highway 49, Mariposa	50	2024	7		7/24/24
Scales Fire	Tehama	Cascade Wonderland Highway, Cottonwood	59	2024	7		7/24/24
Park Fire	Butte, Tehama	Off Upper Park Road in Bidwell Park, Chico	429603	2024	7		7/24/24
Horse Fire	Modoc	Unknown / TBD	13	2024	7	7/25/24	7/24/24
Flora Fire	Sonoma	East side of Chalk Hill Road, Geyserville	36	2024	7	7/28/24	7/24/24
Pentz Fire	Butte	Durham-Pentz Road near Hwy 99, S/E of Chico Butte County	40	2024	7	7/25/24	7/24/24
Borel Fire	Kern	Highway 178, East of Democrat	59288	2024	7	9/16/24	7/24/24
Maria Fire	Calaveras	Jesus Maria Road and Hawver Road, southeast of Mokelumne Hill	71	2024	7	7/28/24	7/23/24
Border 63 Fire	San Diego	Highway 94, West of Bell Valley Truck Trail, Potrero	12	2024	7	7/25/24	7/23/24
Circle Fire	Madera	Road 200 and Circle J Ranch Road, O'neals	49	2024	7	7/25/24	7/23/24
Metz Fire	Monterey	Metz Road, east of Greenfield  	1100	2024	7		7/23/24
Oakdale Fire	Merced	Highway 59 North and Oakdale Rd.	96	2024	7		7/23/24
Cow Camp Fire	Mono	Cow Camp Road at Bodie Masonic Road, Bridgeport	292	2024	7	7/28/24	7/23/24
Harry Fire	Siskiyou	Harry Cash Road, near Montague.	10	2024	7	7/25/24	7/23/24
Beaver Fire	San Benito	Coalinga Road, Paicines	19	2024	7		7/23/24
Acres Fire	Madera	22800 Block Road 26,North of Madera Acres	10	2024	7	7/25/24	7/23/24
R-6 Fire	Lassen	North of Buckhorn Rd and West of the California and Nevada Border	26	2024	7		7/23/24
Columbia Fire	Riverside	Columbia Avenue / Michigan Avenue, Highgrove	58	2024	7		7/22/24
Tar Fire	Kings	Tar Canyon Rd and HWY 33	32	2024	7		7/22/24
Gold Complex	Plumas	Plumas National Forest - Beckwourth Ranger District	3007	2024	7	8/4/24	7/22/24
Pencil Fire	Modoc	Near McGinty Reservoir	396	2024	7	7/28/24	7/22/24
Juniper Fire	Riverside	Juniper Flats Road / Mapes Road, Homeland	15	2024	7		7/22/24
Eagle Fire	Riverside	Cajalco Road and Eagle Canyon Road, East of Corona 	1710	2024	7		7/21/24
Hawarden Fire	Riverside	Hawarden Drive, Riverside, CA	527	2024	7	7/25/24	7/21/24
Canyon Fire	Stanislaus	Del Puerto Canyon Road, near the community of Patterson	15	2024	7	7/25/24	7/21/24
Wasioja Fire	Santa Barbara	3 Miles South of HWY 166 &amp; Wasioja Road, New Cuyama	70	2024	7	7/23/24	7/21/24
Ridge Fire	Colusa, Lake	Walker Ridge Rd and Highway 20, at the Lake and Colusa County border	2756	2024	7		7/20/24
Tin Fire	Riverside	La Sierra Avenue X Tin Mine Road, El Cerrito	125	2024	7	7/21/24	7/20/24
Rios Fire	Mendocino	Dos Rios, near the community of Covelo 	6	2024	7	7/21/24	7/20/24
